fecha_hecho,cantidad,latitud,longitud,sexo,edad,estado_civil,grupo_actor,actividad_delictiva,parentesco,ocupacion,discapacidad,grupo_especial,medio_transporte,nivel_academico,testigo,conducta,modalidad,caracterizacion,conducta_especial,arma_medio,articulo_penal,categoria_penal,nombre_barrio,codigo_barrio,codigo_comuna,lugar,sede_receptora,bien,categoria_bien,grupo_bien,modelo,color,permiso,unidad_medida,fecha_ingestion
2009-01-01 18:00:00-05:00,1.0,,,Hombre,27,Casado(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a persona,Halado,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Calle Nueva,#1011,10,Vía pública,Candelaria,Máquina industrial,Muebles,Mercancía,-1,Azul,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
2009-01-01 07:15:00-05:00,1.0,6.311201,-75.571983,Mujer,50,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a persona,Descuido,Sin dato,Sin dato,No,Sin dato,Sin dato,Santander,#0601,6,"Hotel, motel y hostal",Doce de Octubre,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
2009-01-01 19:10:00-05:00,1.0,6.240204,-75.579703,Mujer,34,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a persona,Raponazo,Sin dato,Sin dato,No,Sin dato,Sin dato,Los Conquistadores,#1105,11,Vía pública,Laureles,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
2009-01-01 00:10:00-05:00,1.0,6.253713,-75.567255,Hombre,42,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a persona,Raponazo,Sin dato,Sin dato,No,Sin dato,Sin dato,Villa Nueva,#1018,10,Vía pública,Candelaria,Celular,Tecnología,Mercancía,-1,Sin dato,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
2009-01-01 01:30:00-05:00,1.0,6.196974,-75.565445,Hombre,65,Viudo(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a persona,Rompimiento cerraduta,Sin dato,Sin dato,Arma cortopunzante,Sin dato,Sin dato,Los Naranjos,#1410,14,Almacén tienda y otro,Poblado,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
2009-01-01 03:00:00-05:00,1.0,6.224118,-75.596692,Mujer,59,Casado(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a persona,Abuso de confianza,Sin dato,Sin dato,No,Sin dato,Sin dato,San Bernardo,#1605,16,"Hotel, motel y hostal",Belén,Electrodomésticos cocina y limpieza hogar,Electrodomésticos,Mercancía,-1,Negro,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
2009-01-01 06:00:00-05:00,1.0,6.223474,-75.603985,Mujer,25,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a persona,Descuido,Sin dato,Sin dato,No,Sin dato,Sin dato,La Gloria,#1612,16,Residencia,Belén,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Verde,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
2009-01-01 19:10:00-05:00,1.0,6.240204,-75.579703,Mujer,34,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a persona,Raponazo,Sin dato,Sin dato,No,Sin dato,Sin dato,Los Conquistadores,#1105,11,Vía pública,Laureles,Accesorios prendas de vestir,Prendas de vestir y accesorios,Mercancía,-1,Sin dato,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
2009-01-01 18:00:00-05:00,1.0,,,Hombre,27,Casado(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a persona,Halado,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Calle Nueva,#1011,10,Vía pública,Candelaria,Máquina industrial,Muebles,Mercancía,-1,Azul,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
2009-01-01 07:15:00-05:00,1.0,6.311201,-75.571983,Mujer,50,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a persona,Descuido,Sin dato,Sin dato,No,Sin dato,Sin dato,Santander,#0601,6,"Hotel, motel y hostal",Doce de Octubre,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2023-03-06T04:08:10.000-05:00
