fecha_hecho,sexo,edad,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna
2013-01-01 13:30:00-05:00,Hombre,25,Arma cortopunzante,El Poblado,#1418,14
2013-01-01 10:30:00-05:00,Hombre,54,Arma cortopunzante,La Candelaria,#1019,10
2013-01-01 03:30:00-05:00,Hombre,51,Arma cortopunzante,Miranda,#0415,4
2013-01-01 22:30:00-05:00,Mujer,18,No,Doce de Octubre No.2,#0603,6
2013-01-01 06:00:00-05:00,Hombre,46,Objeto contundente,Guayaquil,#1007,10
2013-01-01 20:30:00-05:00,Hombre,67,Arma de fuego,Castilla,#0511,5
2013-01-01 03:00:00-05:00,Hombre,39,No,Las Estancias,#0815,8
2013-01-01 00:00:00-05:00,Mujer,54,No,Simón Bolívar,#1211,12
2013-01-01 03:30:00-05:00,Hombre,51,Arma cortopunzante,Miranda,#0415,4
2013-01-01 03:30:00-05:00,Hombre,51,Arma cortopunzante,Miranda,#0415,4
2013-01-01 03:30:00-05:00,Hombre,51,Arma cortopunzante,Miranda,#0415,4
2013-01-02 13:00:00-05:00,Hombre,28,Objeto contundente,Moscú No.2,#0105,1
2013-01-02 07:30:00-05:00,Mujer,47,Objeto contundente,Bello Horizonte,#0714,7
2013-01-02 20:45:00-05:00,Hombre,42,Arma de fuego,Los Naranjos,#1410,14
2013-01-02 01:00:00-05:00,Hombre,33,Objeto contundente,El Diamante,#0711,7
2013-01-02 10:00:00-05:00,Mujer,30,Arma de fuego,La Candelaria,#1019,10
2013-01-02 13:00:00-05:00,Hombre,30,No,San Miguel,#0803,8
2013-01-02 15:30:00-05:00,Hombre,28,Arma de fuego,La Candelaria,#1019,10
2013-01-02 23:40:00-05:00,Hombre,23,Arma de fuego,Alejandro Echavarría,#0905,9
2013-01-02 00:00:00-05:00,Mujer,70,No,San Antonio,#0814,8
2013-01-02 00:00:00-05:00,Mujer,47,No,Popular,#0103,1
2013-01-02 12:00:00-05:00,Hombre,21,Objeto contundente,La Candelaria,#1019,10
2013-01-02 06:05:00-05:00,Mujer,42,Arma de fuego,Manrique Central No.1,#0409,4
2013-01-02 13:29:00-05:00,Mujer,38,Arma de fuego,Manrique Central No.1,#0409,4
2013-01-02 23:30:00-05:00,Hombre,20,No,Robledo,#0717,7
2013-01-02 20:45:00-05:00,Hombre,42,Arma de fuego,Los Naranjos,#1410,14
2013-01-02 15:30:00-05:00,Hombre,28,Arma de fuego,La Candelaria,#1019,10
2013-01-02 15:30:00-05:00,Hombre,28,Arma de fuego,La Candelaria,#1019,10
2013-01-03 14:30:00-05:00,Mujer,35,No,Villa Nueva,#1018,10
2013-01-03 15:30:00-05:00,Hombre,20,Arma cortopunzante,El Poblado,#1418,14
2013-01-03 17:20:00-05:00,Mujer,28,Arma cortopunzante,Universidad Nacional,#Inst_8,7
2013-01-03 13:40:00-05:00,Sin dato,-1,No,Barrio Caycedo,#0906,9
2013-01-03 21:30:00-05:00,Hombre,18,No,Cuarta Brigada,#1115,11
2013-01-03 15:00:00-05:00,Mujer,24,Arma de fuego,Boston,#1016,10
2013-01-03 17:30:00-05:00,Hombre,33,Sin dato,Pedregal,#0604,6
2013-01-03 09:00:00-05:00,Hombre,33,Sin dato,San Benito,#1006,10
2013-01-03 17:00:00-05:00,Mujer,29,No,San Diego,#1020,10
2013-01-03 09:30:00-05:00,Hombre,31,Arma de fuego,Aures No.1,#0713,7
2013-01-03 00:00:00-05:00,Hombre,44,Escopolamina,Los Conquistadores,#1105,11
2013-01-03 14:00:00-05:00,Mujer,24,No,La Alpujarra,#Inst_16,10
2013-01-03 17:20:00-05:00,Hombre,27,No,Nueva Villa de la Iguaná,#0725,7
2013-01-03 15:30:00-05:00,Hombre,20,Arma de fuego,El Diamante,#0711,7
2013-01-03 10:40:00-05:00,Mujer,52,Arma cortopunzante,La Candelaria,#1019,10
2013-01-03 08:00:00-05:00,Hombre,17,Objeto contundente,Aures No.1,#0713,7
2013-01-03 07:00:00-05:00,Hombre,38,Arma de fuego,Laureles,#1108,11
2013-01-03 15:00:00-05:00,Mujer,24,Arma de fuego,Boston,#1016,10
2013-01-03 15:00:00-05:00,Mujer,24,Arma de fuego,Boston,#1016,10
2013-01-03 00:00:00-05:00,Hombre,44,Escopolamina,Los Conquistadores,#1105,11
2013-01-03 00:00:00-05:00,Hombre,44,Escopolamina,Los Conquistadores,#1105,11
2013-01-03 10:40:00-05:00,Mujer,52,Arma cortopunzante,La Candelaria,#1019,10
2013-01-03 10:40:00-05:00,Mujer,52,Arma cortopunzante,La Candelaria,#1019,10
2013-01-03 08:00:00-05:00,Hombre,17,Objeto contundente,Aures No.1,#0713,7
2013-01-04 23:20:00-05:00,Mujer,31,Objeto contundente,El Poblado,#1418,14
2013-01-04 23:44:00-05:00,Mujer,20,Arma cortopunzante,Villa Nueva,#1018,10
2013-01-04 04:45:00-05:00,Hombre,44,Arma de fuego,Doce de Octubre No.2,#0603,6
2013-01-04 20:05:00-05:00,Hombre,30,Arma de fuego,La Candelaria,#1019,10
2013-01-04 17:00:00-05:00,Mujer,52,No,La Candelaria,#1019,10
2013-01-04 17:30:00-05:00,Hombre,29,Escopolamina,San Diego,#1020,10
2013-01-04 08:00:00-05:00,Mujer,66,Sin dato,Castilla,#0511,5
2013-01-04 22:17:00-05:00,Mujer,35,Arma de fuego,San Miguel,#0803,8
2013-01-04 17:30:00-05:00,Mujer,34,Arma cortopunzante,La Candelaria,#1019,10
2013-01-04 11:30:00-05:00,Hombre,47,Arma de fuego,Boyacá,#0505,5
2013-01-04 11:30:00-05:00,Hombre,43,Arma de fuego,La Aguacatala,#1422,14
2013-01-04 05:10:00-05:00,Mujer,26,Arma cortopunzante,Sevilla,#0407,4
2013-01-04 00:00:00-05:00,Hombre,40,No,San Javier No.2,#1308,13
2013-01-04 00:00:00-05:00,Hombre,70,No,Doce de Octubre No.2,#0603,6
