fecha_hecho,sexo,edad,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna
2012-01-01 14:00:00-05:00,Hombre,32,No,Cataluña,#0909,9
2012-01-01 17:00:00-05:00,Hombre,22,No,Buenos Aires,#0907,9
2012-01-01 19:00:00-05:00,Hombre,30,Arma de fuego,Aranjuez,#0413,4
2012-01-01 08:00:00-05:00,Hombre,22,No,Manrique Central No.2,#0307,3
2012-01-01 10:30:00-05:00,Hombre,29,No,Las Independencias,#1314,13
2012-01-01 23:00:00-05:00,Hombre,28,Arma de fuego,San Pedro,#0408,4
2012-01-01 02:00:00-05:00,Hombre,52,No,Jesús Nazareno,#1003,10
2012-01-01 00:00:00-05:00,Mujer,70,No,Los Colores,#1114,11
2012-01-01 04:30:00-05:00,Hombre,18,Objeto contundente,Campo Valdés No.1,#0410,4
2012-01-01 14:30:00-05:00,Hombre,28,Arma de fuego,Las Brisas,#0502,5
2012-01-01 12:00:00-05:00,Hombre,23,Objeto contundente,Picacho,#0608,6
2012-01-01 17:00:00-05:00,Hombre,22,No,Buenos Aires,#0907,9
2012-01-01 23:00:00-05:00,Hombre,28,Arma de fuego,San Pedro,#0408,4
2012-01-01 02:00:00-05:00,Hombre,52,No,Jesús Nazareno,#1003,10
2012-01-01 02:00:00-05:00,Hombre,52,No,Jesús Nazareno,#1003,10
2012-01-01 00:00:00-05:00,Mujer,70,No,Los Colores,#1114,11
2012-01-01 00:00:00-05:00,Mujer,70,No,Los Colores,#1114,11
2012-01-01 04:30:00-05:00,Hombre,18,Objeto contundente,Campo Valdés No.1,#0410,4
2012-01-01 14:30:00-05:00,Hombre,28,Arma de fuego,Las Brisas,#0502,5
2012-01-01 12:00:00-05:00,Hombre,23,Objeto contundente,Picacho,#0608,6
2012-01-01 12:00:00-05:00,Hombre,23,Objeto contundente,Picacho,#0608,6
2012-01-01 12:00:00-05:00,Hombre,23,Objeto contundente,Picacho,#0608,6
2012-01-02 22:55:00-05:00,Hombre,62,Arma cortopunzante,Villa Nueva,#1018,10
2012-01-02 20:45:00-05:00,Hombre,75,Arma cortopunzante,Prado,#1001,10
2012-01-02 16:00:00-05:00,Hombre,28,No,Pablo VI,#0203,2
2012-01-02 21:30:00-05:00,Hombre,49,Arma de fuego,El Nogal-Los Almendros,#1620,16
2012-01-02 17:40:00-05:00,Hombre,34,Arma cortopunzante,Universidad de Antioquia,#Inst_11,4
2012-01-02 16:45:00-05:00,Hombre,25,No,La Candelaria,#1019,10
2012-01-02 10:00:00-05:00,Hombre,40,Arma de fuego,Las Acacias,#1109,11
2012-01-02 01:50:00-05:00,Hombre,29,Arma de fuego,El Salvador,#0912,9
2012-01-02 22:50:00-05:00,Hombre,31,No,Manila,#1419,14
2012-01-02 08:00:00-05:00,Mujer,27,No,Villa Hermosa,#0801,8
2012-01-02 15:00:00-05:00,Hombre,22,No,Doce de Octubre No.2,#0603,6
2012-01-02 17:10:00-05:00,Hombre,26,Arma cortopunzante,Alejandría,#1416,14
2012-01-02 16:40:00-05:00,Hombre,23,Arma de fuego,La Pilarica,#0706,7
2012-01-02 18:00:00-05:00,Hombre,42,Arma de fuego,Boston,#1016,10
2012-01-02 10:00:00-05:00,Hombre,27,No,Progreso No.2,#0611,6
2012-01-02 19:30:00-05:00,Sin dato,-1,Arma de fuego,Manrique Central No.2,#0307,3
2012-01-02 15:00:00-05:00,Hombre,41,No,Bomboná No.1,#1015,10
2012-01-02 16:00:00-05:00,Hombre,23,Arma de fuego,Enciso,#0808,8
2012-01-02 21:30:00-05:00,Hombre,22,Arma de fuego,Prado,#1001,10
2012-01-02 19:15:00-05:00,Hombre,46,Arma de fuego,Robledo,#0717,7
2012-01-02 14:20:00-05:00,Hombre,31,Arma de fuego,Campo Valdés No.1,#0410,4
2012-01-02 22:55:00-05:00,Hombre,62,Arma cortopunzante,Villa Nueva,#1018,10
2012-01-02 16:45:00-05:00,Hombre,25,No,La Candelaria,#1019,10
2012-01-02 01:50:00-05:00,Hombre,29,Arma de fuego,El Salvador,#0912,9
2012-01-02 01:50:00-05:00,Hombre,29,Arma de fuego,El Salvador,#0912,9
2012-01-02 17:10:00-05:00,Hombre,26,Arma cortopunzante,Alejandría,#1416,14
2012-01-02 17:10:00-05:00,Hombre,26,Arma cortopunzante,Alejandría,#1416,14
2012-01-02 17:10:00-05:00,Hombre,26,Arma cortopunzante,Alejandría,#1416,14
2012-01-02 16:40:00-05:00,Hombre,23,Arma de fuego,La Pilarica,#0706,7
2012-01-02 18:00:00-05:00,Hombre,42,Arma de fuego,Boston,#1016,10
2012-01-02 19:30:00-05:00,Sin dato,-1,Arma de fuego,Manrique Central No.2,#0307,3
2012-01-02 19:30:00-05:00,Sin dato,-1,Arma de fuego,Manrique Central No.2,#0307,3
2012-01-02 19:30:00-05:00,Sin dato,-1,Arma de fuego,Manrique Central No.2,#0307,3
2012-01-02 16:00:00-05:00,Hombre,23,Arma de fuego,Enciso,#0808,8
2012-01-02 21:30:00-05:00,Hombre,22,Arma de fuego,Prado,#1001,10
2012-01-02 19:15:00-05:00,Hombre,46,Arma de fuego,Robledo,#0717,7
2012-01-02 14:20:00-05:00,Hombre,31,Arma de fuego,Campo Valdés No.1,#0410,4
2012-01-03 16:20:00-05:00,Mujer,67,Arma de fuego,Carlos E. Restrepo,#1101,11
2012-01-03 20:10:00-05:00,Hombre,49,Arma cortopunzante,Prado,#1001,10
2012-01-03 13:30:00-05:00,Hombre,35,Arma de fuego,Nueva Villa de la Iguaná,#0725,7
2012-01-03 22:30:00-05:00,Mujer,47,No,Santa Mónica,#1209,12
2012-01-03 08:00:00-05:00,Hombre,42,No,Santa Mónica,#1209,12
2012-01-03 11:00:00-05:00,Hombre,38,Arma de fuego,San Pedro,#0408,4
2012-01-03 20:20:00-05:00,Hombre,35,No,Boyacá,#0505,5
2012-01-03 10:00:00-05:00,Sin dato,-1,Arma de fuego,Santander,#0601,6
2012-01-03 16:50:00-05:00,Hombre,18,No,Terminal de Transporte,#Inst_4,5
2012-01-03 00:00:00-05:00,Hombre,28,Arma de fuego,Manrique Oriental,#0308,3
2012-01-03 15:00:00-05:00,Sin dato,-1,Arma de fuego,Santo Domingo Savio No.1,#0101,1
2012-01-03 13:20:00-05:00,Mujer,26,No,Campo Amor,#1507,15
2012-01-03 00:00:00-05:00,Mujer,45,No,Enciso,#0808,8
2012-01-03 12:00:00-05:00,Mujer,35,No,Jardín Botánico,#Inst_10,4
2012-01-03 14:30:00-05:00,Mujer,29,No,El Poblado,#1418,14
2012-01-03 14:00:00-05:00,Hombre,50,No,Bomboná No.1,#1015,10
2012-01-03 10:00:00-05:00,Hombre,54,No,Las Palmas,#1014,10
2012-01-03 20:30:00-05:00,Sin dato,-1,Arma cortopunzante,Estación Villa,#1005,10
2012-01-03 23:00:00-05:00,Mujer,28,No,Florida Nueva,#1117,11
2012-01-03 17:00:00-05:00,Mujer,19,No,Barrio Colón,#1013,10
2012-01-03 08:45:00-05:00,Hombre,78,Arma de fuego,Sin dato,SIN DATO,SIN DATO
2012-01-03 08:00:00-05:00,Hombre,42,No,Santa Mónica,#1209,12
2012-01-03 08:00:00-05:00,Hombre,42,No,Santa Mónica,#1209,12
2012-01-03 08:00:00-05:00,Hombre,42,No,Santa Mónica,#1209,12
2012-01-03 08:00:00-05:00,Hombre,42,No,Santa Mónica,#1209,12
2012-01-03 20:20:00-05:00,Hombre,35,No,Boyacá,#0505,5
2012-01-03 20:20:00-05:00,Hombre,35,No,Boyacá,#0505,5
2012-01-03 12:00:00-05:00,Mujer,35,No,Jardín Botánico,#Inst_10,4
2012-01-03 12:00:00-05:00,Mujer,35,No,Jardín Botánico,#Inst_10,4
2012-01-03 12:00:00-05:00,Mujer,35,No,Jardín Botánico,#Inst_10,4
2012-01-03 14:30:00-05:00,Mujer,29,No,El Poblado,#1418,14
2012-01-03 14:30:00-05:00,Mujer,29,No,El Poblado,#1418,14
2012-01-03 14:00:00-05:00,Hombre,50,No,Bomboná No.1,#1015,10
2012-01-03 20:30:00-05:00,Sin dato,-1,Arma cortopunzante,Estación Villa,#1005,10
2012-01-03 20:30:00-05:00,Sin dato,-1,Arma cortopunzante,Estación Villa,#1005,10
2012-01-03 23:00:00-05:00,Mujer,28,No,Florida Nueva,#1117,11
2012-01-03 17:00:00-05:00,Mujer,19,No,Barrio Colón,#1013,10
2012-01-03 17:00:00-05:00,Mujer,19,No,Barrio Colón,#1013,10
2012-01-03 17:00:00-05:00,Mujer,19,No,Barrio Colón,#1013,10
2012-01-04 01:45:00-05:00,Hombre,34,Arma cortopunzante,La Candelaria,#1019,10
2012-01-04 17:45:00-05:00,Mujer,22,No,La Candelaria,#1019,10
2012-01-04 13:10:00-05:00,Hombre,38,Arma cortopunzante,Rosales,#1602,16
2012-01-04 22:15:00-05:00,Hombre,24,Arma cortopunzante,Manila,#1419,14
2012-01-04 19:00:00-05:00,Hombre,30,Objeto contundente,Villa Nueva,#1018,10
2012-01-04 16:00:00-05:00,Mujer,53,No,La Candelaria,#1019,10
2012-01-04 21:20:00-05:00,Hombre,42,Arma de fuego,Suramericana,#1102,11
2012-01-04 23:30:00-05:00,Mujer,30,Arma de fuego,Estadio,#1113,11
2012-01-04 10:00:00-05:00,Hombre,35,No,Guayaquil,#1007,10
2012-01-04 23:00:00-05:00,Mujer,24,Arma de fuego,Guayaquil,#1007,10
2012-01-04 01:45:00-05:00,Hombre,34,Arma cortopunzante,La Candelaria,#1019,10
2012-01-04 19:00:00-05:00,Hombre,30,Objeto contundente,Villa Nueva,#1018,10
2012-01-04 19:00:00-05:00,Hombre,30,Objeto contundente,Villa Nueva,#1018,10
2012-01-04 19:00:00-05:00,Hombre,30,Objeto contundente,Villa Nueva,#1018,10
2012-01-04 23:30:00-05:00,Mujer,30,Arma de fuego,Estadio,#1113,11
2012-01-05 15:05:00-05:00,Hombre,35,Arma de fuego,Gerona,#0911,9
2012-01-05 16:00:00-05:00,Sin dato,-1,Arma de fuego,Campo Valdés No.2,#0303,3
2012-01-05 01:00:00-05:00,Hombre,17,Arma cortopunzante,Buenos Aires,#0907,9
2012-01-06 17:50:00-05:00,Hombre,42,Arma de fuego,Prado,#1001,10
2012-01-06 10:00:00-05:00,Hombre,27,No,San Isidro,#0402,4
2012-01-06 10:00:00-05:00,Hombre,25,No,Terminal de Transporte,#Inst_4,5
2012-01-06 23:30:00-05:00,Hombre,23,Arma de fuego,Cerro Nutibara Ins.,#Inst_18,16
2012-01-06 12:30:00-05:00,Mujer,47,No,Sevilla,#0407,4
2012-01-06 14:30:00-05:00,Hombre,41,Arma de fuego,Piedras Blancas Matasano,#9003,90
2012-01-06 14:37:00-05:00,Mujer,31,Arma cortopunzante,La Gloria,#1612,16
2012-01-06 10:00:00-05:00,Hombre,25,No,Terminal de Transporte,#Inst_4,5
2012-01-06 23:30:00-05:00,Hombre,23,Arma de fuego,Cerro Nutibara Ins.,#Inst_18,16
2012-01-06 14:30:00-05:00,Hombre,41,Arma de fuego,Piedras Blancas Matasano,#9003,90
2012-01-06 14:30:00-05:00,Hombre,41,Arma de fuego,Piedras Blancas Matasano,#9003,90
2012-01-06 14:30:00-05:00,Hombre,41,Arma de fuego,Piedras Blancas Matasano,#9003,90
2012-01-07 01:00:00-05:00,Mujer,24,Objeto contundente,Prado,#1001,10
2012-01-07 16:25:00-05:00,Mujer,17,Sin dato,Patio Bonito,#1421,14
2012-01-07 00:00:00-05:00,Hombre,32,No,Olaya Herrera,#0722,7
2012-01-07 18:00:00-05:00,Mujer,34,No,Santa Margarita,#0720,7
2012-01-07 15:30:00-05:00,Hombre,24,Arma de fuego,Piedras Blancas Matasano,#9003,90
2012-01-07 15:30:00-05:00,Hombre,24,Arma de fuego,Piedras Blancas Matasano,#9003,90
2012-01-07 15:30:00-05:00,Hombre,24,Arma de fuego,Piedras Blancas Matasano,#9003,90
2012-01-08 02:35:00-05:00,Mujer,18,Sin dato,Villa Carlota,#1403,14
2012-01-08 22:30:00-05:00,Hombre,26,Sin dato,Naranjal,#1103,11
2012-01-08 17:30:00-05:00,Hombre,35,No,San Benito,#1006,10
2012-01-08 02:00:00-05:00,Mujer,25,No,El Poblado,#1418,14
2012-01-08 22:00:00-05:00,Hombre,48,Arma de fuego,Cuarta Brigada,#1115,11
2012-01-08 17:30:00-05:00,Hombre,35,No,San Benito,#1006,10
2012-01-08 17:30:00-05:00,Hombre,35,No,San Benito,#1006,10
2012-01-09 16:15:00-05:00,Hombre,25,Arma cortopunzante,La Candelaria,#1019,10
2012-01-09 17:40:00-05:00,Mujer,28,Arma cortopunzante,Santa María de los Ángeles,#1423,14
2012-01-09 18:30:00-05:00,Hombre,18,Arma cortopunzante,Prado,#1001,10
2012-01-09 16:00:00-05:00,Hombre,35,Objeto contundente,La América,#1204,12
2012-01-09 19:00:00-05:00,Hombre,39,Arma de fuego,Los Pinos,#1203,12
2012-01-09 16:15:00-05:00,Hombre,25,Arma cortopunzante,La Candelaria,#1019,10
2012-01-09 19:00:00-05:00,Hombre,39,Arma de fuego,Los Pinos,#1203,12
2012-01-09 19:00:00-05:00,Hombre,39,Arma de fuego,Los Pinos,#1203,12
2012-01-10 10:20:00-05:00,Mujer,36,No,La Candelaria,#1019,10
2012-01-10 20:50:00-05:00,Mujer,33,No,La Candelaria,#1019,10
2012-01-10 11:48:00-05:00,Hombre,51,Objeto contundente,El Salvador,#0912,9
2012-01-10 19:30:00-05:00,Hombre,25,Arma de fuego,La Mota,#1608,16
2012-01-10 17:00:00-05:00,Mujer,24,No,Naranjal,#1103,11
2012-01-10 00:00:00-05:00,Hombre,46,No,La Pradera,#1306,13
2012-01-10 22:40:00-05:00,Hombre,35,Objeto contundente,Lorena,#1111,11
2012-01-10 22:00:00-05:00,Hombre,19,Arma cortopunzante,Caribe,#0517,5
2012-01-10 20:50:00-05:00,Mujer,33,No,La Candelaria,#1019,10
2012-01-10 00:00:00-05:00,Hombre,46,No,La Pradera,#1306,13
2012-01-11 09:00:00-05:00,Mujer,33,No,Villa Nueva,#1018,10
2012-01-11 09:20:00-05:00,Hombre,27,Objeto contundente,Girardot,#0509,5
2012-01-11 16:11:00-05:00,Mujer,13,No,La Candelaria,#1019,10
2012-01-11 08:00:00-05:00,Hombre,46,Arma de fuego,Santa Fé,#1504,15
2012-01-11 09:00:00-05:00,Hombre,28,No,Campo Valdés No.2,#0303,3
2012-01-11 06:00:00-05:00,Hombre,20,Arma cortopunzante,Villa Hermosa,#0801,8
2012-01-11 21:30:00-05:00,Hombre,25,Arma cortopunzante,Corazón de Jesús,#1008,10
2012-01-11 00:00:00-05:00,Hombre,43,Arma de fuego,Área Urbana Cgto. San Antonio de Prado,#AUC2,80
2012-01-11 08:00:00-05:00,Hombre,39,Arma de fuego,Santa Fé,#1504,15
2012-01-11 08:00:00-05:00,Hombre,46,Arma de fuego,Santa Fé,#1504,15
2012-01-11 08:00:00-05:00,Hombre,46,Arma de fuego,Santa Fé,#1504,15
2012-01-11 08:00:00-05:00,Hombre,39,Arma de fuego,Santa Fé,#1504,15
2012-01-11 08:00:00-05:00,Hombre,46,Arma de fuego,Santa Fé,#1504,15
2012-01-11 06:00:00-05:00,Hombre,20,Arma cortopunzante,Villa Hermosa,#0801,8
2012-01-12 14:00:00-05:00,Hombre,55,Arma de fuego,Campo Amor,#1507,15
2012-01-12 00:30:00-05:00,Mujer,31,Arma cortopunzante,Barrio Colón,#1013,10
2012-01-12 13:10:00-05:00,Hombre,40,No,Boston,#1016,10
2012-01-12 16:40:00-05:00,Hombre,16,Arma cortopunzante,Estadio,#1113,11
2012-01-12 20:22:00-05:00,Mujer,37,Arma de fuego,Altavista,#1613,16
2012-01-12 15:45:00-05:00,Mujer,38,Arma de fuego,Altavista,#1613,16
2012-01-12 20:40:00-05:00,Hombre,31,No,La Candelaria,#1019,10
2012-01-12 09:30:00-05:00,Mujer,23,Arma de fuego,La Aguacatala,#1422,14
2012-01-12 14:00:00-05:00,Hombre,55,Arma de fuego,Campo Amor,#1507,15
2012-01-13 15:20:00-05:00,Hombre,46,Arma de fuego,Palenque,#0716,7
2012-01-13 11:00:00-05:00,Hombre,36,Arma de fuego,Santa Cruz,#0210,2
2012-01-13 17:40:00-05:00,Mujer,34,No,La Candelaria,#1019,10
2012-01-13 06:00:00-05:00,Mujer,24,Arma cortopunzante,Castilla,#0511,5
2012-01-13 05:30:00-05:00,Hombre,23,Arma cortopunzante,Corazón de Jesús,#1008,10
2012-01-13 21:00:00-05:00,Hombre,52,Arma de fuego,Bomboná No.1,#1015,10
2012-01-13 22:20:00-05:00,Mujer,29,Arma de fuego,La Frontera,#0204,2
2012-01-13 12:10:00-05:00,Hombre,38,Arma de fuego,Toscana,#0501,5
2012-01-13 18:00:00-05:00,Hombre,17,Arma de fuego,Nueva Villa del Aburrá,#1618,16
2012-01-13 20:30:00-05:00,Mujer,50,Arma cortopunzante,Calle Nueva,#1011,10
2012-01-13 01:00:00-05:00,Mujer,36,Arma de fuego,El Chagualo,#1004,10
2012-01-13 12:45:00-05:00,Hombre,23,No,La Aguacatala,#1422,14
2012-01-13 16:00:00-05:00,Hombre,57,No,El Poblado,#1418,14
2012-01-13 15:20:00-05:00,Hombre,46,Arma de fuego,Palenque,#0716,7
2012-01-13 06:00:00-05:00,Mujer,24,Arma cortopunzante,Castilla,#0511,5
2012-01-13 06:00:00-05:00,Mujer,24,Arma cortopunzante,Castilla,#0511,5
2012-01-13 06:00:00-05:00,Mujer,24,Arma cortopunzante,Castilla,#0511,5
2012-01-13 05:30:00-05:00,Hombre,23,Arma cortopunzante,Corazón de Jesús,#1008,10
2012-01-13 05:30:00-05:00,Hombre,23,Arma cortopunzante,Corazón de Jesús,#1008,10
2012-01-13 21:00:00-05:00,Hombre,52,Arma de fuego,Bomboná No.1,#1015,10
2012-01-13 18:00:00-05:00,Hombre,17,Arma de fuego,Nueva Villa del Aburrá,#1618,16
2012-01-13 18:00:00-05:00,Hombre,17,Arma de fuego,Nueva Villa del Aburrá,#1618,16
2012-01-13 01:00:00-05:00,Mujer,36,Arma de fuego,El Chagualo,#1004,10
2012-01-13 16:00:00-05:00,Hombre,57,No,El Poblado,#1418,14
2012-01-14 04:00:00-05:00,Mujer,37,No,San Benito,#1006,10
2012-01-14 15:00:00-05:00,Hombre,19,No,Estadio,#1113,11
2012-01-14 12:30:00-05:00,Mujer,41,Objeto contundente,La Candelaria,#1019,10
2012-01-14 13:30:00-05:00,Hombre,33,Arma de fuego,Girardot,#0509,5
2012-01-14 14:00:00-05:00,Mujer,40,No,La Candelaria,#1019,10
2012-01-14 17:00:00-05:00,Mujer,19,No,Castilla,#0511,5
2012-01-14 09:00:00-05:00,Hombre,19,No,Villa Hermosa,#0801,8
2012-01-14 11:30:00-05:00,Hombre,52,Escopolamina,La Candelaria,#1019,10
2012-01-14 15:00:00-05:00,Hombre,19,No,Estadio,#1113,11
2012-01-14 15:00:00-05:00,Hombre,19,No,Estadio,#1113,11
2012-01-14 12:30:00-05:00,Mujer,41,Objeto contundente,La Candelaria,#1019,10
2012-01-14 13:30:00-05:00,Hombre,33,Arma de fuego,Girardot,#0509,5
2012-01-14 13:30:00-05:00,Hombre,33,Arma de fuego,Girardot,#0509,5
2012-01-14 09:00:00-05:00,Hombre,19,No,Villa Hermosa,#0801,8
2012-01-14 09:00:00-05:00,Hombre,19,No,Villa Hermosa,#0801,8
2012-01-14 11:30:00-05:00,Hombre,52,Escopolamina,La Candelaria,#1019,10
2012-01-15 13:40:00-05:00,Mujer,26,Arma cortopunzante,Prado,#1001,10
2012-01-15 15:45:00-05:00,Mujer,37,No,Boston,#1016,10
2012-01-15 14:40:00-05:00,Hombre,46,Objeto contundente,La Candelaria,#1019,10
2012-01-15 14:00:00-05:00,Hombre,36,Objeto contundente,Centro Administrativo,#Inst_17,10
2012-01-15 12:00:00-05:00,Mujer,21,No,Plaza de Ferias,#Inst_1,5
2012-01-15 16:00:00-05:00,Hombre,33,Arma de fuego,La Sierra,#0817,8
2012-01-15 12:00:00-05:00,Mujer,21,No,Plaza de Ferias,#Inst_1,5
2012-01-16 06:50:00-05:00,Hombre,36,Objeto contundente,La Candelaria,#1019,10
2012-01-16 00:00:00-05:00,Sin dato,-1,Sin dato,Jesús Nazareno,#1003,10
2012-01-16 10:00:00-05:00,Mujer,39,Arma de fuego,Bermejal-Los Alamos,#0404,4
2012-01-16 12:00:00-05:00,Hombre,21,Arma de fuego,Brasilia,#0414,4
2012-01-16 00:00:00-05:00,Mujer,60,No,Moscú No.1,#0209,2
2012-01-16 05:00:00-05:00,Hombre,29,Arma de fuego,Tricentenario,#0510,5
2012-01-16 18:15:00-05:00,Hombre,26,Sin dato,Caribe,#0517,5
2012-01-16 12:00:00-05:00,Hombre,21,Arma de fuego,Brasilia,#0414,4
2012-01-16 05:00:00-05:00,Hombre,29,Arma de fuego,Tricentenario,#0510,5
2012-01-17 10:15:00-05:00,Mujer,27,No,La Mota,#1608,16
2012-01-17 21:05:00-05:00,Mujer,36,Arma de fuego,Pedregal,#0604,6
2012-01-17 10:00:00-05:00,Mujer,46,Sin dato,Patio Bonito,#1421,14
2012-01-17 18:50:00-05:00,Hombre,27,Arma cortopunzante,Nueva Villa de la Iguaná,#0725,7
