fecha_hecho,sexo,edad,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna
2003-01-01 00:30:00-05:00,Hombre,36,Sin dato,Altavista,#1613,16
2003-01-01 02:30:00-05:00,Hombre,29,Sin dato,Calasanz,#1202,12
2003-01-01 02:30:00-05:00,Hombre,29,Sin dato,Calasanz,#1202,12
2003-01-01 00:30:00-05:00,Hombre,36,Sin dato,Altavista,#1613,16
2003-01-02 02:00:00-05:00,Hombre,39,Sin dato,La Palma,#1614,16
2003-01-02 10:45:00-05:00,Hombre,38,Arma cortopunzante,Calasanz,#1202,12
2003-01-02 13:30:00-05:00,Mujer,23,Arma de fuego,El Nogal-Los Almendros,#1620,16
2003-01-02 12:00:00-05:00,Hombre,70,Arma cortopunzante,La Candelaria,#1019,10
2003-01-02 15:45:00-05:00,Mujer,34,Arma de fuego,Santa Fé,#1504,15
2003-01-02 11:00:00-05:00,Mujer,20,Arma de fuego,Belén,#1603,16
2003-01-02 10:45:00-05:00,Hombre,38,Arma cortopunzante,Calasanz,#1202,12
2003-01-02 02:00:00-05:00,Hombre,39,Sin dato,La Palma,#1614,16
2003-01-02 13:30:00-05:00,Mujer,23,Arma de fuego,El Nogal-Los Almendros,#1620,16
2003-01-02 12:00:00-05:00,Hombre,70,Arma cortopunzante,La Candelaria,#1019,10
2003-01-02 15:45:00-05:00,Mujer,34,Arma de fuego,Santa Fé,#1504,15
2003-01-02 11:00:00-05:00,Mujer,20,Arma de fuego,Belén,#1603,16
2003-01-03 19:50:00-05:00,Hombre,36,Arma de fuego,Francisco Antonio Zea,#0513,5
2003-01-03 16:00:00-05:00,Mujer,34,Objeto contundente,Corazón de Jesús,#1008,10
2003-01-03 19:50:00-05:00,Hombre,36,Arma de fuego,Francisco Antonio Zea,#0513,5
2003-01-03 16:00:00-05:00,Mujer,34,Objeto contundente,Corazón de Jesús,#1008,10
2003-01-04 11:30:00-05:00,Hombre,41,Arma de fuego,Los Ángeles,#1017,10
2003-01-04 16:00:00-05:00,Hombre,40,Arma cortopunzante,La Candelaria,#1019,10
2003-01-04 16:00:00-05:00,Hombre,40,Arma cortopunzante,La Candelaria,#1019,10
2003-01-04 11:30:00-05:00,Hombre,41,Arma de fuego,Los Ángeles,#1017,10
2003-01-05 00:20:00-05:00,Hombre,33,Sin dato,La Candelaria,#1019,10
2003-01-05 09:00:00-05:00,Hombre,26,Sin dato,Sevilla,#0407,4
2003-01-05 13:45:00-05:00,Hombre,45,Arma de fuego,Jesús Nazareno,#1003,10
2003-01-05 19:45:00-05:00,Hombre,35,Arma cortopunzante,La Candelaria,#1019,10
2003-01-05 00:40:00-05:00,Hombre,39,Sin dato,La Gloria,#1612,16
2003-01-05 01:15:00-05:00,Hombre,60,Arma cortopunzante,Astorga,#1420,14
2003-01-05 13:15:00-05:00,Hombre,21,Arma de fuego,La Pradera,#1306,13
2003-01-05 08:30:00-05:00,Mujer,33,Sin dato,San Benito,#1006,10
2003-01-05 00:20:00-05:00,Hombre,33,Sin dato,La Candelaria,#1019,10
2003-01-05 09:00:00-05:00,Hombre,26,Sin dato,Sevilla,#0407,4
2003-01-05 13:45:00-05:00,Hombre,45,Arma de fuego,Jesús Nazareno,#1003,10
2003-01-05 01:15:00-05:00,Hombre,60,Arma cortopunzante,Astorga,#1420,14
2003-01-05 00:40:00-05:00,Hombre,39,Sin dato,La Gloria,#1612,16
2003-01-05 19:45:00-05:00,Hombre,35,Arma cortopunzante,La Candelaria,#1019,10
2003-01-05 13:15:00-05:00,Hombre,21,Arma de fuego,La Pradera,#1306,13
2003-01-05 08:30:00-05:00,Mujer,33,Sin dato,San Benito,#1006,10
2003-01-06 06:30:00-05:00,Hombre,42,Arma de fuego,La América,#1204,12
2003-01-06 06:30:00-05:00,Hombre,42,Arma de fuego,La América,#1204,12
2003-01-07 20:00:00-05:00,Hombre,27,Arma de fuego,Boston,#1016,10
2003-01-07 16:30:00-05:00,Mujer,30,Arma de fuego,Manila,#1419,14
2003-01-07 20:00:00-05:00,Hombre,27,Arma de fuego,Boston,#1016,10
2003-01-07 11:30:00-05:00,Hombre,28,Arma de fuego,Santa Lucía,#1206,12
2003-01-07 16:30:00-05:00,Sin dato,43,Sin dato,Simón Bolívar,#1211,12
2003-01-07 16:30:00-05:00,Mujer,30,Arma de fuego,Manila,#1419,14
2003-01-07 20:00:00-05:00,Hombre,27,Arma de fuego,Boston,#1016,10
2003-01-07 16:30:00-05:00,Hombre,43,Sin dato,Simón Bolívar,#1211,12
2003-01-07 20:00:00-05:00,Hombre,27,Arma de fuego,Boston,#1016,10
2003-01-07 11:30:00-05:00,Hombre,28,Arma de fuego,Santa Lucía,#1206,12
2003-01-08 16:00:00-05:00,Hombre,71,Objeto contundente,San Bernardo,#1605,16
2003-01-08 16:00:00-05:00,Hombre,71,Objeto contundente,San Bernardo,#1605,16
2003-01-08 22:05:00-05:00,Hombre,23,Arma de fuego,San Miguel,#0803,8
2003-01-08 16:00:00-05:00,Hombre,71,Objeto contundente,San Bernardo,#1605,16
2003-01-08 17:15:00-05:00,Hombre,36,Arma de fuego,Calle Nueva,#1011,10
