fecha_hecho,sexo,edad,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna
2011-01-01 13:00:00-05:00,Hombre,42,Arma de fuego,Facultad de Minas U. Nal,#Inst_5,7
2011-01-02 23:00:00-05:00,Mujer,22,No,Barrio Colón,#1013,10
2011-01-02 17:20:00-05:00,Mujer,33,No,Caribe,#0517,5
2011-01-03 10:50:00-05:00,Mujer,51,No,Villa Carlota,#1403,14
2011-01-03 14:25:00-05:00,Mujer,50,No,La Candelaria,#1019,10
2011-01-04 19:30:00-05:00,Mujer,37,No,La Candelaria,#1019,10
2011-01-04 11:20:00-05:00,Hombre,39,Arma de fuego,Jesús Nazareno,#1003,10
2011-01-04 17:30:00-05:00,Mujer,25,No,Tenche,#1502,15
2011-01-04 21:00:00-05:00,Mujer,25,Objeto contundente,Cementerio Universal,#Inst_3,5
2011-01-05 04:30:00-05:00,Mujer,36,No,María Cano-Carambolas,#0313,3
2011-01-05 13:50:00-05:00,Hombre,33,Arma de fuego,El Chagualo,#1004,10
2011-01-05 17:20:00-05:00,Mujer,27,No,San Germán,#0703,7
2011-01-06 04:00:00-05:00,Hombre,40,No,Corazón de Jesús,#1008,10
2011-01-06 21:00:00-05:00,Hombre,30,No,La Candelaria,#1019,10
2011-01-06 22:30:00-05:00,Hombre,45,Arma cortopunzante,Sin dato,SIN DATO,SIN DATO
2011-01-06 10:30:00-05:00,Sin dato,-1,Arma de fuego,Guayabal,#1510,15
2011-01-07 09:00:00-05:00,Hombre,29,Objeto contundente,Barrio Colombia,#1401,14
2011-01-07 20:55:00-05:00,Hombre,32,Arma cortopunzante,Perpetuo Socorro,#1012,10
2011-01-07 02:00:00-05:00,Hombre,56,Arma cortopunzante,Belén,#1603,16
2011-01-07 22:40:00-05:00,Mujer,16,No,Perpetuo Socorro,#1012,10
2011-01-08 16:45:00-05:00,Hombre,50,No,La Candelaria,#1019,10
2011-01-09 13:30:00-05:00,Hombre,32,Arma de fuego,El Pomar,#0306,3
2011-01-09 04:00:00-05:00,Hombre,26,Arma de fuego,Sevilla,#0407,4
2011-01-09 21:30:00-05:00,Hombre,32,Arma cortopunzante,San Joaquín,#1104,11
2011-01-09 04:00:00-05:00,Hombre,26,Arma de fuego,Sevilla,#0407,4
2011-01-09 21:30:00-05:00,Hombre,32,Arma cortopunzante,San Joaquín,#1104,11
2011-01-11 20:30:00-05:00,Hombre,21,Arma cortopunzante,Barrio Colombia,#1401,14
2011-01-12 08:30:00-05:00,Hombre,32,No,La Candelaria,#1019,10
2011-01-12 11:55:00-05:00,Hombre,46,Arma de fuego,La Palma,#1614,16
2011-01-12 17:55:00-05:00,Mujer,36,No,La Candelaria,#1019,10
2011-01-12 18:45:00-05:00,Mujer,27,No,Caribe,#0517,5
2011-01-12 18:45:00-05:00,Mujer,27,No,Caribe,#0517,5
2011-01-12 18:45:00-05:00,Mujer,27,No,Caribe,#0517,5
2011-01-13 04:40:00-05:00,Mujer,25,No,Boston,#1016,10
2011-01-13 16:00:00-05:00,Mujer,17,No,Boston,#1016,10
2011-01-13 08:25:00-05:00,Hombre,16,No,Los Conquistadores,#1105,11
2011-01-13 16:50:00-05:00,Hombre,43,No,La Candelaria,#1019,10
2011-01-14 11:20:00-05:00,Mujer,42,Sin dato,Villa Hermosa,#0801,8
2011-01-14 10:30:00-05:00,Hombre,15,No,Jardín Botánico,#Inst_10,4
2011-01-14 13:30:00-05:00,Hombre,53,Sin dato,Bello Horizonte,#0714,7
2011-01-14 10:00:00-05:00,Hombre,26,Sin dato,Belén,#1603,16
2011-01-15 18:15:00-05:00,Mujer,35,No,San Diego,#1020,10
2011-01-15 13:40:00-05:00,Hombre,36,Arma de fuego,San Joaquín,#1104,11
2011-01-15 13:30:00-05:00,Hombre,17,No,Estadio,#1113,11
2011-01-15 13:40:00-05:00,Hombre,36,Arma de fuego,San Joaquín,#1104,11
2011-01-15 13:30:00-05:00,Hombre,17,No,Estadio,#1113,11
2011-01-16 09:40:00-05:00,Mujer,35,Arma cortopunzante,Boston,#1016,10
2011-01-16 08:15:00-05:00,Hombre,53,Arma de fuego,San Lucas,#1412,14
2011-01-17 10:30:00-05:00,Mujer,65,No,Patio Bonito,#1421,14
2011-01-17 15:10:00-05:00,Mujer,78,Arma de fuego,Calle Nueva,#1011,10
2011-01-17 15:30:00-05:00,Mujer,23,No,La Candelaria,#1019,10
2011-01-17 15:10:00-05:00,Mujer,78,Arma de fuego,Calle Nueva,#1011,10
2011-01-17 15:10:00-05:00,Mujer,78,Arma de fuego,Calle Nueva,#1011,10
2011-01-18 21:00:00-05:00,Hombre,25,Arma cortopunzante,Prado,#1001,10
2011-01-18 20:21:00-05:00,Hombre,40,Arma cortopunzante,Hospital San Vicente de Paúl,#Inst_12,10
2011-01-18 18:00:00-05:00,Mujer,57,No,El Corazón,#1313,13
2011-01-18 21:20:00-05:00,Mujer,34,No,Los Balsos No.1,#1411,14
2011-01-19 16:45:00-05:00,Hombre,39,Arma de fuego,Campo Amor,#1507,15
2011-01-19 17:55:00-05:00,Mujer,57,Arma cortopunzante,Campo Valdés No.1,#0410,4
2011-01-19 10:40:00-05:00,Mujer,31,No,San Miguel,#0803,8
2011-01-19 19:00:00-05:00,Hombre,36,No,Trinidad,#1503,15
2011-01-19 09:00:00-05:00,Mujer,39,No,Manrique Central No.1,#0409,4
2011-01-20 11:40:00-05:00,Mujer,67,Arma cortopunzante,Palenque,#0716,7
2011-01-20 11:40:00-05:00,Mujer,18,No,La Candelaria,#1019,10
2011-01-20 16:40:00-05:00,Mujer,42,Arma cortopunzante,Tenche,#1502,15
2011-01-20 00:30:00-05:00,Mujer,29,No,Perpetuo Socorro,#1012,10
2011-01-20 16:30:00-05:00,Hombre,29,Arma de fuego,La Mansión,#0802,8
2011-01-20 14:00:00-05:00,Mujer,40,No,La Candelaria,#1019,10
2011-01-20 10:20:00-05:00,Mujer,24,Arma cortopunzante,Alfonso López,#0514,5
2011-01-20 00:35:00-05:00,Hombre,22,Arma cortopunzante,El Poblado,#1418,14
2011-01-20 10:20:00-05:00,Mujer,24,Arma cortopunzante,Alfonso López,#0514,5
2011-01-21 07:00:00-05:00,Hombre,43,Arma de fuego,Popular,#0103,1
2011-01-21 17:30:00-05:00,Hombre,27,Arma de fuego,La Candelaria,#1019,10
2011-01-21 20:00:00-05:00,Hombre,51,Arma de fuego,Villa Carlota,#1403,14
2011-01-21 14:00:00-05:00,Hombre,41,Sin dato,Patio Bonito,#1421,14
2011-01-21 18:50:00-05:00,Hombre,61,Arma de fuego,San Bernardo,#1605,16
2011-01-21 17:20:00-05:00,Hombre,52,Sin dato,El Poblado,#1418,14
2011-01-21 07:00:00-05:00,Hombre,43,Arma de fuego,Popular,#0103,1
2011-01-21 20:00:00-05:00,Hombre,51,Arma de fuego,Villa Carlota,#1403,14
2011-01-21 17:20:00-05:00,Hombre,52,Sin dato,El Poblado,#1418,14
2011-01-22 12:00:00-05:00,Mujer,46,No,Santo Domingo Savio No.1,#0101,1
2011-01-22 18:25:00-05:00,Hombre,50,No,La Candelaria,#1019,10
2011-01-22 01:10:00-05:00,Hombre,30,No,San Germán,#0703,7
2011-01-22 15:18:00-05:00,Mujer,44,No,Nuevos Conquistadores,#1315,13
2011-01-22 14:30:00-05:00,Mujer,39,Sin dato,Los Balsos No.2,#1415,14
2011-01-22 21:45:00-05:00,Hombre,32,Arma de fuego,Jesús Nazareno,#1003,10
2011-01-22 22:00:00-05:00,Hombre,28,Arma cortopunzante,Suramericana,#1102,11
2011-01-23 23:30:00-05:00,Hombre,42,Arma cortopunzante,La Candelaria,#1019,10
2011-01-23 19:50:00-05:00,Hombre,38,No,Barrio Colombia,#1401,14
2011-01-23 19:25:00-05:00,Hombre,18,Arma cortopunzante,La Aguacatala,#1422,14
2011-01-23 04:00:00-05:00,Hombre,23,Sin dato,Moravia,#0405,4
2011-01-23 03:50:00-05:00,Hombre,38,No,Las Lomas No.1,#1406,14
2011-01-23 11:00:00-05:00,Mujer,22,No,Versalles No.2,#0310,3
2011-01-24 15:45:00-05:00,Hombre,16,No,Estación Villa,#1005,10
2011-01-24 21:20:00-05:00,Hombre,33,Arma de fuego,La Gloria,#1612,16
2011-01-24 19:05:00-05:00,Mujer,25,Arma cortopunzante,Barrio Colón,#1013,10
2011-01-24 21:50:00-05:00,Hombre,23,No,Guayaquil,#1007,10
2011-01-24 00:30:00-05:00,Hombre,28,No,San Bernardo,#1605,16
2011-01-25 09:40:00-05:00,Hombre,35,No,Manrique Central No.2,#0307,3
2011-01-25 22:20:00-05:00,Hombre,34,Arma de fuego,La Castellana,#1110,11
2011-01-25 07:00:00-05:00,Mujer,46,Sin dato,Lalinde,#1405,14
2011-01-25 10:40:00-05:00,Hombre,36,Arma de fuego,Perpetuo Socorro,#1012,10
2011-01-25 20:45:00-05:00,Mujer,57,Arma de fuego,Florida Nueva,#1117,11
2011-01-25 19:00:00-05:00,Mujer,26,No,La Aguacatala,#1422,14
2011-01-25 16:20:00-05:00,Hombre,47,Arma de fuego,Patio Bonito,#1421,14
2011-01-25 22:20:00-05:00,Hombre,34,Arma de fuego,La Castellana,#1110,11
2011-01-25 22:20:00-05:00,Hombre,34,Arma de fuego,La Castellana,#1110,11
2011-01-25 19:00:00-05:00,Mujer,26,No,La Aguacatala,#1422,14
2011-01-25 16:20:00-05:00,Hombre,47,Arma de fuego,Patio Bonito,#1421,14
2011-01-26 19:15:00-05:00,Mujer,21,No,Florida Nueva,#1117,11
2011-01-26 20:40:00-05:00,Mujer,32,Arma cortopunzante,Alejandría,#1416,14
2011-01-26 18:30:00-05:00,Hombre,42,Arma cortopunzante,La Candelaria,#1019,10
2011-01-26 21:30:00-05:00,Mujer,34,Arma de fuego,La Castellana,#1110,11
2011-01-26 19:15:00-05:00,Mujer,21,No,Florida Nueva,#1117,11
2011-01-26 18:30:00-05:00,Hombre,42,Arma cortopunzante,La Candelaria,#1019,10
2011-01-27 14:30:00-05:00,Hombre,18,No,Lorena,#1111,11
2011-01-27 17:00:00-05:00,Mujer,22,No,La Candelaria,#1019,10
2011-01-27 06:20:00-05:00,Hombre,44,Arma de fuego,La Aguacatala,#1422,14
2011-01-27 13:00:00-05:00,Hombre,57,Arma de fuego,El Tesoro,#1409,14
2011-01-27 06:20:00-05:00,Hombre,44,Arma de fuego,La Aguacatala,#1422,14
2011-01-27 13:00:00-05:00,Hombre,57,Arma de fuego,El Tesoro,#1409,14
2011-01-28 23:00:00-05:00,Mujer,27,Arma de fuego,La Pilarica,#0706,7
2011-01-28 14:00:00-05:00,Mujer,28,Arma cortopunzante,Barrio Colón,#1013,10
2011-01-28 16:00:00-05:00,Mujer,43,Arma cortopunzante,Perpetuo Socorro,#1012,10
2011-01-28 01:00:00-05:00,Mujer,45,Arma cortopunzante,Manila,#1419,14
2011-01-28 15:36:00-05:00,Mujer,39,Arma de fuego,Guayaquil,#1007,10
2011-01-28 12:40:00-05:00,Hombre,22,Arma de fuego,Lorena,#1111,11
2011-01-28 23:00:00-05:00,Mujer,27,Arma de fuego,La Pilarica,#0706,7
2011-01-28 12:40:00-05:00,Hombre,22,Arma de fuego,Lorena,#1111,11
2011-01-29 09:30:00-05:00,Hombre,19,No,Manrique Central No.1,#0409,4
2011-01-29 16:15:00-05:00,Hombre,54,No,La Candelaria,#1019,10
