fecha_hecho,sexo,edad,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna
2008-01-02 19:45:00-05:00,Mujer,30,Arma cortopunzante,Bomboná No.1,#1015,10
2008-01-02 10:30:00-05:00,Hombre,31,Arma de fuego,El Nogal-Los Almendros,#1620,16
2008-01-02 19:45:00-05:00,Mujer,30,Arma cortopunzante,Bomboná No.1,#1015,10
2008-01-02 19:45:00-05:00,Mujer,30,Arma cortopunzante,Bomboná No.1,#1015,10
2008-01-02 19:45:00-05:00,Mujer,30,Arma cortopunzante,Bomboná No.1,#1015,10
2008-01-02 10:30:00-05:00,Hombre,31,Arma de fuego,El Nogal-Los Almendros,#1620,16
2008-01-04 07:00:00-05:00,Hombre,37,Arma de fuego,Robledo,#0717,7
2008-01-04 00:40:00-05:00,Hombre,29,Arma cortopunzante,Boston,#1016,10
2008-01-04 04:00:00-05:00,Mujer,32,Arma cortopunzante,Barrio Colón,#1013,10
2008-01-04 16:30:00-05:00,Hombre,29,Arma de fuego,El Pesebre,#1301,13
2008-01-04 18:15:00-05:00,Hombre,24,Arma de fuego,Caribe,#0517,5
2008-01-04 01:45:00-05:00,Mujer,59,Arma cortopunzante,Santander,#0601,6
2008-01-04 07:00:00-05:00,Hombre,37,Arma de fuego,Robledo,#0717,7
2008-01-04 04:00:00-05:00,Mujer,32,Arma cortopunzante,Barrio Colón,#1013,10
2008-01-04 00:40:00-05:00,Hombre,29,Arma cortopunzante,Boston,#1016,10
2008-01-04 16:30:00-05:00,Hombre,29,Arma de fuego,El Pesebre,#1301,13
2008-01-04 18:15:00-05:00,Hombre,24,Arma de fuego,Caribe,#0517,5
2008-01-04 01:45:00-05:00,Mujer,59,Arma cortopunzante,Santander,#0601,6
2008-01-05 12:15:00-05:00,Hombre,49,Arma de fuego,La América,#1204,12
2008-01-05 12:45:00-05:00,Hombre,51,Arma de fuego,San Joaquín,#1104,11
2008-01-05 08:50:00-05:00,Hombre,26,No,Guayabal,#1510,15
2008-01-05 12:45:00-05:00,Hombre,51,Arma de fuego,San Joaquín,#1104,11
2008-01-05 12:15:00-05:00,Hombre,49,Arma de fuego,La América,#1204,12
2008-01-05 08:50:00-05:00,Hombre,26,No,Guayabal,#1510,15
2008-01-06 03:00:00-05:00,Hombre,39,Objeto contundente,Córdoba,#0709,7
2008-01-06 09:00:00-05:00,Hombre,27,Sin dato,Caribe,#0517,5
2008-01-06 07:40:00-05:00,Hombre,29,Arma de fuego,Bolivariana,#1107,11
2008-01-06 07:40:00-05:00,Hombre,29,Arma de fuego,Bolivariana,#1107,11
2008-01-06 07:40:00-05:00,Hombre,29,Arma de fuego,Bolivariana,#1107,11
2008-01-06 03:00:00-05:00,Hombre,39,Objeto contundente,Córdoba,#0709,7
2008-01-06 09:00:00-05:00,Hombre,27,Sin dato,Caribe,#0517,5
2008-01-06 07:40:00-05:00,Hombre,29,Arma de fuego,Bolivariana,#1107,11
2008-01-06 07:40:00-05:00,Hombre,29,Arma de fuego,Bolivariana,#1107,11
2008-01-06 07:40:00-05:00,Hombre,29,Arma de fuego,Bolivariana,#1107,11
2008-01-07 08:15:00-05:00,Hombre,38,Arma de fuego,Laureles,#1108,11
2008-01-07 08:15:00-05:00,Hombre,38,Arma de fuego,Laureles,#1108,11
2008-01-08 11:20:00-05:00,Hombre,39,Objeto contundente,San Javier No.1,#1309,13
2008-01-08 14:30:00-05:00,Mujer,42,No,Belén,#1603,16
2008-01-08 23:15:00-05:00,Hombre,40,Sin dato,Girardot,#0509,5
2008-01-08 14:30:00-05:00,Mujer,42,No,Belén,#1603,16
2008-01-08 11:20:00-05:00,Hombre,39,Objeto contundente,San Javier No.1,#1309,13
2008-01-08 23:15:00-05:00,Hombre,40,Sin dato,Girardot,#0509,5
2008-01-09 12:00:00-05:00,Hombre,32,Objeto contundente,Sin dato,SIN DATO,SIN DATO
2008-01-09 12:00:00-05:00,Hombre,32,Objeto contundente,Sin dato,SIN DATO,SIN DATO
2008-01-09 16:30:00-05:00,Hombre,35,Arma cortopunzante,Las Palmas,#1014,10
2008-01-09 18:55:00-05:00,Mujer,18,Sin dato,La Castellana,#1110,11
2008-01-09 11:30:00-05:00,Sin dato,-1,Arma de fuego,Suramericana,#1102,11
2008-01-09 11:30:00-05:00,Mujer,19,No,Suramericana,#1102,11
2008-01-09 16:30:00-05:00,Hombre,35,Arma cortopunzante,Las Palmas,#1014,10
2008-01-09 18:55:00-05:00,Mujer,18,Sin dato,La Castellana,#1110,11
2008-01-09 12:00:00-05:00,Hombre,32,Objeto contundente,Sin dato,SIN DATO,SIN DATO
2008-01-09 12:00:00-05:00,Hombre,32,Objeto contundente,Sin dato,SIN DATO,SIN DATO
2008-01-09 11:30:00-05:00,Sin dato,-1,Arma de fuego,Suramericana,#1102,11
2008-01-09 11:30:00-05:00,Mujer,19,No,Suramericana,#1102,11
2008-01-10 11:50:00-05:00,Hombre,44,Objeto contundente,Perpetuo Socorro,#1012,10
2008-01-10 00:20:00-05:00,Hombre,33,Arma de fuego,La Candelaria,#1019,10
2008-01-10 11:50:00-05:00,Hombre,44,Objeto contundente,Perpetuo Socorro,#1012,10
2008-01-10 13:00:00-05:00,Hombre,32,Sin dato,La Florida,#1417,14
2008-01-10 14:00:00-05:00,Hombre,34,Arma de fuego,Bomboná No.1,#1015,10
2008-01-10 15:00:00-05:00,Sin dato,-1,No,La Aguacatala,#1422,14
2008-01-10 16:50:00-05:00,Sin dato,-1,Arma de fuego,San Miguel,#0803,8
2008-01-10 21:40:00-05:00,Mujer,18,No,La Candelaria,#1019,10
2008-01-10 13:00:00-05:00,Hombre,32,Sin dato,La Florida,#1417,14
2008-01-10 00:20:00-05:00,Hombre,33,Arma de fuego,La Candelaria,#1019,10
2008-01-10 11:50:00-05:00,Hombre,44,Objeto contundente,Perpetuo Socorro,#1012,10
2008-01-10 11:50:00-05:00,Hombre,44,Objeto contundente,Perpetuo Socorro,#1012,10
2008-01-10 15:00:00-05:00,Sin dato,-1,No,La Aguacatala,#1422,14
2008-01-10 14:00:00-05:00,Hombre,34,Arma de fuego,Bomboná No.1,#1015,10
2008-01-10 21:40:00-05:00,Mujer,18,No,La Candelaria,#1019,10
2008-01-10 16:50:00-05:00,Sin dato,-1,Arma de fuego,San Miguel,#0803,8
2008-01-11 17:30:00-05:00,Hombre,25,Sin dato,Caribe,#0517,5
2008-01-11 16:00:00-05:00,Hombre,23,Sin dato,Manila,#1419,14
2008-01-11 18:00:00-05:00,Hombre,35,Objeto contundente,San Diego,#1020,10
2008-01-11 19:00:00-05:00,Hombre,54,Objeto contundente,La Floresta,#1205,12
2008-01-11 05:30:00-05:00,Hombre,66,Arma de fuego,Laureles,#1108,11
2008-01-11 17:30:00-05:00,Hombre,25,Sin dato,Caribe,#0517,5
2008-01-11 16:00:00-05:00,Hombre,23,Sin dato,Manila,#1419,14
2008-01-11 18:00:00-05:00,Hombre,35,Objeto contundente,San Diego,#1020,10
2008-01-11 19:00:00-05:00,Hombre,54,Objeto contundente,La Floresta,#1205,12
2008-01-11 05:30:00-05:00,Hombre,66,Arma de fuego,Laureles,#1108,11
2008-01-12 00:30:00-05:00,Hombre,35,Arma de fuego,Campo Valdés No.1,#0410,4
2008-01-12 02:20:00-05:00,Hombre,25,Arma de fuego,La América,#1204,12
2008-01-12 18:30:00-05:00,Mujer,75,Objeto contundente,Laureles,#1108,11
2008-01-12 00:15:00-05:00,Hombre,31,Objeto contundente,Florida Nueva,#1117,11
2008-01-12 06:00:00-05:00,Mujer,32,Objeto contundente,La Mansión,#0802,8
2008-01-12 09:20:00-05:00,Hombre,25,Objeto contundente,La Candelaria,#1019,10
2008-01-12 10:45:00-05:00,Hombre,47,Objeto contundente,La Candelaria,#1019,10
2008-01-12 11:30:00-05:00,Hombre,22,Arma de fuego,San Benito,#1006,10
2008-01-12 15:30:00-05:00,Hombre,26,Objeto contundente,La Candelaria,#1019,10
2008-01-12 18:30:00-05:00,Mujer,75,Objeto contundente,Laureles,#1108,11
2008-01-12 02:20:00-05:00,Hombre,25,Arma de fuego,La América,#1204,12
2008-01-12 00:30:00-05:00,Hombre,35,Arma de fuego,Campo Valdés No.1,#0410,4
2008-01-12 11:30:00-05:00,Hombre,22,Arma de fuego,San Benito,#1006,10
2008-01-12 10:45:00-05:00,Hombre,47,Objeto contundente,La Candelaria,#1019,10
2008-01-12 09:20:00-05:00,Hombre,25,Objeto contundente,La Candelaria,#1019,10
2008-01-12 15:30:00-05:00,Hombre,26,Objeto contundente,La Candelaria,#1019,10
2008-01-12 00:15:00-05:00,Hombre,31,Objeto contundente,Florida Nueva,#1117,11
2008-01-12 06:00:00-05:00,Mujer,32,Objeto contundente,La Mansión,#0802,8
2008-01-13 01:45:00-05:00,Mujer,33,Objeto contundente,Campo Valdés No.1,#0410,4
2008-01-13 03:30:00-05:00,Hombre,51,Sin dato,Los Conquistadores,#1105,11
2008-01-13 08:30:00-05:00,Hombre,30,Sin dato,La América,#1204,12
2008-01-13 17:00:00-05:00,Hombre,33,No,Boston,#1016,10
2008-01-13 01:45:00-05:00,Mujer,33,Objeto contundente,Campo Valdés No.1,#0410,4
2008-01-13 17:00:00-05:00,Hombre,33,No,Boston,#1016,10
2008-01-13 03:30:00-05:00,Hombre,51,Sin dato,Los Conquistadores,#1105,11
2008-01-13 08:30:00-05:00,Hombre,30,Sin dato,La América,#1204,12
2008-01-14 09:00:00-05:00,Hombre,24,Arma de fuego,Alejandro Echavarría,#0905,9
2008-01-14 10:30:00-05:00,Hombre,28,Objeto contundente,Naranjal,#1103,11
2008-01-14 11:30:00-05:00,Hombre,25,Sin dato,San Benito,#1006,10
2008-01-14 09:50:00-05:00,Hombre,51,Arma de fuego,La Esperanza,#0605,6
2008-01-14 10:30:00-05:00,Hombre,28,Objeto contundente,Naranjal,#1103,11
2008-01-14 11:30:00-05:00,Hombre,25,Sin dato,San Benito,#1006,10
2008-01-14 09:00:00-05:00,Hombre,24,Arma de fuego,Alejandro Echavarría,#0905,9
2008-01-14 09:50:00-05:00,Hombre,51,Arma de fuego,La Esperanza,#0605,6
2008-01-15 14:50:00-05:00,Hombre,48,Sin dato,Terminal de Transporte,#Inst_4,5
2008-01-15 15:10:00-05:00,Mujer,45,No,Estación Villa,#1005,10
2008-01-15 15:10:00-05:00,Mujer,45,No,Estación Villa,#1005,10
2008-01-15 14:50:00-05:00,Hombre,48,Sin dato,Terminal de Transporte,#Inst_4,5
2008-01-16 07:50:00-05:00,Sin dato,-1,No,San Javier No.1,#1309,13
2008-01-16 08:00:00-05:00,Mujer,56,Objeto contundente,Estación Villa,#1005,10
2008-01-16 18:00:00-05:00,Hombre,28,Objeto contundente,San Benito,#1006,10
2008-01-16 11:30:00-05:00,Hombre,36,Arma de fuego,Alejandro Echavarría,#0905,9
2008-01-16 13:00:00-05:00,Mujer,42,Arma de fuego,Fátima,#1601,16
2008-01-16 13:30:00-05:00,Mujer,15,No,San Javier No.1,#1309,13
2008-01-16 19:00:00-05:00,Hombre,49,Sin dato,Carlos E. Restrepo,#1101,11
2008-01-16 08:00:00-05:00,Mujer,56,Objeto contundente,Estación Villa,#1005,10
2008-01-16 18:00:00-05:00,Hombre,28,Objeto contundente,San Benito,#1006,10
2008-01-16 07:50:00-05:00,Sin dato,-1,No,San Javier No.1,#1309,13
2008-01-16 19:00:00-05:00,Hombre,49,Sin dato,Carlos E. Restrepo,#1101,11
2008-01-16 13:30:00-05:00,Mujer,15,No,San Javier No.1,#1309,13
2008-01-16 11:30:00-05:00,Hombre,36,Arma de fuego,Alejandro Echavarría,#0905,9
2008-01-16 13:00:00-05:00,Mujer,42,Arma de fuego,Fátima,#1601,16
2008-01-17 18:35:00-05:00,Hombre,60,Arma cortopunzante,La Candelaria,#1019,10
2008-01-17 01:45:00-05:00,Hombre,21,Objeto contundente,Boston,#1016,10
2008-01-17 02:00:00-05:00,Mujer,31,Arma de fuego,Santa Margarita,#0720,7
2008-01-17 05:15:00-05:00,Mujer,32,Sin dato,Patio Bonito,#1421,14
2008-01-17 08:00:00-05:00,Mujer,20,Objeto contundente,Villa Nueva,#1018,10
2008-01-17 10:00:00-05:00,Mujer,37,No,Castilla,#0511,5
2008-01-17 18:35:00-05:00,Hombre,60,Arma cortopunzante,La Candelaria,#1019,10
2008-01-17 05:15:00-05:00,Mujer,32,Sin dato,Patio Bonito,#1421,14
2008-01-17 01:45:00-05:00,Hombre,21,Objeto contundente,Boston,#1016,10
2008-01-17 08:00:00-05:00,Mujer,20,Objeto contundente,Villa Nueva,#1018,10
2008-01-17 02:00:00-05:00,Mujer,31,Arma de fuego,Santa Margarita,#0720,7
2008-01-17 18:35:00-05:00,Hombre,60,Arma cortopunzante,La Candelaria,#1019,10
2008-01-17 18:35:00-05:00,Hombre,60,Arma cortopunzante,La Candelaria,#1019,10
2008-01-17 10:00:00-05:00,Mujer,37,No,Castilla,#0511,5
2008-01-18 08:25:00-05:00,Hombre,34,Objeto contundente,El Chagualo,#1004,10
2008-01-18 09:30:00-05:00,Hombre,70,Sin dato,San Diego,#1020,10
2008-01-18 17:10:00-05:00,Hombre,46,Sin dato,Suramericana,#1102,11
2008-01-18 09:30:00-05:00,Hombre,70,Sin dato,San Diego,#1020,10
2008-01-18 08:25:00-05:00,Hombre,34,Objeto contundente,El Chagualo,#1004,10
2008-01-18 17:10:00-05:00,Hombre,46,Sin dato,Suramericana,#1102,11
2008-01-19 01:25:00-05:00,Hombre,35,No,El Compromiso,#0108,1
2008-01-19 09:30:00-05:00,Hombre,32,Arma cortopunzante,Parque Norte,#Inst_9,4
2008-01-19 10:30:00-05:00,Hombre,21,Sin dato,Naranjal,#1103,11
2008-01-19 22:30:00-05:00,Mujer,25,Arma de fuego,Barrio Caycedo,#0906,9
2008-01-19 09:30:00-05:00,Hombre,32,Arma cortopunzante,Parque Norte,#Inst_9,4
2008-01-19 01:25:00-05:00,Hombre,35,No,El Compromiso,#0108,1
2008-01-19 10:30:00-05:00,Hombre,21,Sin dato,Naranjal,#1103,11
