fecha_hecho,sexo,edad,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna
2007-01-02 06:30:00-05:00,Sin dato,-1,No,El Poblado,#1418,14
2007-01-02 08:45:00-05:00,Hombre,60,No,El Poblado,#1418,14
2007-01-02 14:30:00-05:00,Hombre,67,Sin dato,San Benito,#1006,10
2007-01-02 15:45:00-05:00,Hombre,54,Arma de fuego,Héctor Abad Gómez,#0507,5
2007-01-02 11:00:00-05:00,Sin dato,-1,Sin dato,Campo Amor,#1507,15
2007-01-02 14:30:00-05:00,Mujer,40,Arma de fuego,La Milagrosa,#0910,9
2007-01-02 15:30:00-05:00,Hombre,35,Sin dato,Los Conquistadores,#1105,11
2007-01-02 06:30:00-05:00,Sin dato,-1,No,El Poblado,#1418,14
2007-01-02 08:45:00-05:00,Hombre,60,No,El Poblado,#1418,14
2007-01-02 15:30:00-05:00,Hombre,35,Sin dato,Los Conquistadores,#1105,11
2007-01-02 11:00:00-05:00,Sin dato,-1,Sin dato,Campo Amor,#1507,15
2007-01-02 14:30:00-05:00,Mujer,40,Arma de fuego,La Milagrosa,#0910,9
2007-01-02 15:45:00-05:00,Hombre,54,Arma de fuego,Héctor Abad Gómez,#0507,5
2007-01-02 14:30:00-05:00,Hombre,67,Sin dato,San Benito,#1006,10
2007-01-03 05:00:00-05:00,Sin dato,-1,Sin dato,San Javier No.1,#1309,13
2007-01-03 16:15:00-05:00,Sin dato,-1,Arma de fuego,Calasanz,#1202,12
2007-01-03 05:00:00-05:00,Sin dato,-1,Sin dato,San Javier No.1,#1309,13
2007-01-03 16:15:00-05:00,Sin dato,-1,Arma de fuego,Calasanz,#1202,12
2007-01-04 12:30:00-05:00,Hombre,25,Arma de fuego,Perpetuo Socorro,#1012,10
2007-01-04 16:00:00-05:00,Mujer,28,Arma de fuego,La América,#1204,12
2007-01-04 22:20:00-05:00,Hombre,30,Sin dato,La Castellana,#1110,11
2007-01-04 03:00:00-05:00,Hombre,28,Sin dato,San Joaquín,#1104,11
2007-01-04 12:30:00-05:00,Hombre,35,Arma de fuego,Santa Cruz,#0210,2
2007-01-04 20:30:00-05:00,Hombre,18,No,La Candelaria,#1019,10
2007-01-04 12:30:00-05:00,Hombre,25,Arma de fuego,Perpetuo Socorro,#1012,10
2007-01-04 22:20:00-05:00,Hombre,30,Sin dato,La Castellana,#1110,11
2007-01-04 16:00:00-05:00,Mujer,28,Arma de fuego,La América,#1204,12
2007-01-04 20:30:00-05:00,Hombre,18,No,La Candelaria,#1019,10
2007-01-04 12:30:00-05:00,Hombre,35,Arma de fuego,Santa Cruz,#0210,2
2007-01-04 03:00:00-05:00,Hombre,28,Sin dato,San Joaquín,#1104,11
2007-01-05 16:00:00-05:00,Mujer,28,Sin dato,Trinidad,#1503,15
2007-01-05 09:00:00-05:00,Mujer,50,Sin dato,La Candelaria,#1019,10
2007-01-05 12:30:00-05:00,Hombre,45,Arma de fuego,Héctor Abad Gómez,#0507,5
2007-01-05 13:30:00-05:00,Hombre,30,Arma de fuego,Robledo,#0717,7
2007-01-05 15:00:00-05:00,Hombre,28,Sin dato,Belén,#1603,16
2007-01-05 16:00:00-05:00,Hombre,30,Arma de fuego,Campo Amor,#1507,15
2007-01-05 17:00:00-05:00,Hombre,30,Sin dato,Villa Carlota,#1403,14
2007-01-05 22:00:00-05:00,Mujer,30,No,Carpinelo,#0112,1
2007-01-05 16:00:00-05:00,Mujer,28,Sin dato,Trinidad,#1503,15
2007-01-05 12:30:00-05:00,Hombre,45,Arma de fuego,Héctor Abad Gómez,#0507,5
2007-01-05 13:30:00-05:00,Hombre,30,Arma de fuego,Robledo,#0717,7
2007-01-05 16:00:00-05:00,Hombre,30,Arma de fuego,Campo Amor,#1507,15
2007-01-05 15:00:00-05:00,Hombre,28,Sin dato,Belén,#1603,16
2007-01-05 17:00:00-05:00,Hombre,30,Sin dato,Villa Carlota,#1403,14
2007-01-05 09:00:00-05:00,Mujer,50,Sin dato,La Candelaria,#1019,10
2007-01-05 22:00:00-05:00,Mujer,30,No,Carpinelo,#0112,1
2007-01-06 01:00:00-05:00,Hombre,37,Sin dato,Santander,#0601,6
2007-01-06 09:00:00-05:00,Hombre,32,Arma de fuego,Buenos Aires,#0907,9
2007-01-06 09:00:00-05:00,Hombre,32,Arma de fuego,Buenos Aires,#0907,9
2007-01-06 01:00:00-05:00,Hombre,37,Sin dato,Santander,#0601,6
2007-01-06 09:00:00-05:00,Hombre,32,Arma de fuego,Buenos Aires,#0907,9
2007-01-06 09:00:00-05:00,Hombre,32,Arma de fuego,Buenos Aires,#0907,9
2007-01-07 12:00:00-05:00,Hombre,37,Arma de fuego,Las Playas,#1606,16
2007-01-07 12:00:00-05:00,Hombre,37,Arma de fuego,Las Playas,#1606,16
2007-01-07 12:00:00-05:00,Hombre,37,Arma de fuego,Las Playas,#1606,16
2007-01-07 12:00:00-05:00,Hombre,37,Arma de fuego,Las Playas,#1606,16
2007-01-09 16:00:00-05:00,Hombre,23,Arma de fuego,Caribe,#0517,5
2007-01-09 16:00:00-05:00,Hombre,23,Arma de fuego,Caribe,#0517,5
2007-01-09 15:40:00-05:00,Mujer,25,Arma de fuego,Campo Amor,#1507,15
2007-01-09 16:00:00-05:00,Hombre,23,Arma de fuego,Caribe,#0517,5
2007-01-09 16:00:00-05:00,Hombre,23,Arma de fuego,Caribe,#0517,5
2007-01-09 15:40:00-05:00,Mujer,25,Arma de fuego,Campo Amor,#1507,15
2007-01-10 21:40:00-05:00,Hombre,23,Arma de fuego,Héctor Abad Gómez,#0507,5
2007-01-10 10:20:00-05:00,Hombre,26,Arma de fuego,San Bernardo,#1605,16
2007-01-10 06:00:00-05:00,Mujer,36,Sin dato,El Raizal,#0305,3
2007-01-10 10:20:00-05:00,Hombre,26,Arma de fuego,San Bernardo,#1605,16
2007-01-10 21:40:00-05:00,Hombre,23,Arma de fuego,Héctor Abad Gómez,#0507,5
2007-01-10 06:00:00-05:00,Mujer,36,Sin dato,El Raizal,#0305,3
2007-01-11 17:00:00-05:00,Mujer,41,No,La América,#1204,12
2007-01-11 19:45:00-05:00,Hombre,29,Arma de fuego,Hospital San Vicente de Paúl,#Inst_12,10
2007-01-11 18:00:00-05:00,Hombre,30,Sin dato,Los Conquistadores,#1105,11
2007-01-11 19:45:00-05:00,Hombre,29,Arma de fuego,Hospital San Vicente de Paúl,#Inst_12,10
2007-01-11 18:00:00-05:00,Hombre,30,Sin dato,Los Conquistadores,#1105,11
2007-01-11 17:00:00-05:00,Mujer,41,No,La América,#1204,12
2007-01-12 01:00:00-05:00,Hombre,35,Sin dato,El Poblado,#1418,14
2007-01-12 11:30:00-05:00,Hombre,20,Arma de fuego,Santa Fé,#1504,15
2007-01-12 01:00:00-05:00,Hombre,35,Sin dato,El Poblado,#1418,14
2007-01-12 11:30:00-05:00,Hombre,20,Arma de fuego,Santa Fé,#1504,15
2007-01-15 09:55:00-05:00,Hombre,46,Arma de fuego,El Poblado,#1418,14
2007-01-15 00:00:00-05:00,Mujer,55,Sin dato,Los Balsos No.1,#1411,14
2007-01-15 09:55:00-05:00,Hombre,46,Arma de fuego,El Poblado,#1418,14
2007-01-15 00:00:00-05:00,Mujer,55,Sin dato,Los Balsos No.1,#1411,14
2007-01-16 09:00:00-05:00,Hombre,32,No,Santa Cruz,#0210,2
2007-01-16 09:00:00-05:00,Hombre,32,No,Santa Cruz,#0210,2
2007-01-18 12:30:00-05:00,Hombre,41,Arma de fuego,Robledo,#0717,7
2007-01-18 15:00:00-05:00,Mujer,28,Sin dato,Sin dato,SIN DATO,SIN DATO
2007-01-18 14:20:00-05:00,Mujer,38,Arma de fuego,Tejelo,#0504,5
2007-01-18 12:30:00-05:00,Hombre,41,Arma de fuego,Robledo,#0717,7
2007-01-18 15:00:00-05:00,Mujer,28,Sin dato,Sin dato,SIN DATO,SIN DATO
2007-01-18 14:20:00-05:00,Mujer,38,Arma de fuego,Tejelo,#0504,5
2007-01-19 20:00:00-05:00,Mujer,45,Sin dato,El Poblado,#1418,14
2007-01-19 11:15:00-05:00,Hombre,40,Arma de fuego,Rosales,#1602,16
2007-01-19 20:00:00-05:00,Mujer,45,Sin dato,El Poblado,#1418,14
2007-01-19 11:15:00-05:00,Hombre,40,Arma de fuego,Rosales,#1602,16
2007-01-20 09:15:00-05:00,Hombre,49,Sin dato,La Florida,#1417,14
2007-01-20 10:20:00-05:00,Mujer,27,Sin dato,Belén,#1603,16
2007-01-20 18:23:00-05:00,Hombre,39,Sin dato,Belén,#1603,16
2007-01-20 18:23:00-05:00,Hombre,39,Sin dato,Belén,#1603,16
2007-01-20 10:20:00-05:00,Mujer,27,Sin dato,Belén,#1603,16
2007-01-20 09:15:00-05:00,Hombre,49,Sin dato,La Florida,#1417,14
2007-01-22 09:20:00-05:00,Hombre,26,No,La Rosa,#0211,2
2007-01-22 17:00:00-05:00,Hombre,31,Sin dato,La Candelaria,#1019,10
2007-01-22 09:20:00-05:00,Hombre,26,No,La Rosa,#0211,2
2007-01-22 17:00:00-05:00,Hombre,31,Sin dato,La Candelaria,#1019,10
2007-01-23 19:45:00-05:00,Hombre,48,Sin dato,Rosales,#1602,16
2007-01-23 19:45:00-05:00,Hombre,48,Sin dato,Rosales,#1602,16
2007-01-23 12:30:00-05:00,Hombre,40,Sin dato,Belén,#1603,16
2007-01-23 19:45:00-05:00,Hombre,48,Sin dato,Rosales,#1602,16
2007-01-23 14:00:00-05:00,Mujer,19,Sin dato,Laureles,#1108,11
2007-01-23 19:45:00-05:00,Hombre,48,Sin dato,Rosales,#1602,16
2007-01-23 19:45:00-05:00,Hombre,48,Sin dato,Rosales,#1602,16
2007-01-23 19:45:00-05:00,Hombre,48,Sin dato,Rosales,#1602,16
2007-01-23 12:30:00-05:00,Hombre,40,Sin dato,Belén,#1603,16
2007-01-23 14:00:00-05:00,Mujer,19,Sin dato,Laureles,#1108,11
2007-01-24 12:00:00-05:00,Hombre,31,Arma de fuego,Rosales,#1602,16
2007-01-24 12:30:00-05:00,Hombre,54,Sin dato,Las Mercedes,#1617,16
